,num_of_weeks,lyric,name,artist,year
930,1,Not Found,Single Ladies (Put A Ring On It),"Beyonce ",2008
931,1,Ey this is special what s happenin to all my All my all my soldiers over there in Iraq Everybody right here What you need to do is be thankful For the life you got you know what I m sayin Stop lookin at what you ain t got And start being thankful for what you do got Let s give it to em baby girl You re gonna be a shinin star In fancy clothes and fancy cars And then you ll see you re gonna go far Cause everyone knows just who ya are So live your life Hey Ay ay ay You steady chasin that paper just live your life Oh Ay ay ay Ain t got no time for no haters just live your life Hey Ay ay ay No tellin where it ll take ya just live your life Oh Ay ay ay Cause I m a paper chaser just livin my life Ay my life Oh My life Ay my life Oh Just livin my life Ay my life Oh My life Ay my life Oh just livin my life Hey never mind what haters say Ignore em til they fade away Amazin they ungrateful After all the game I gave away Safe to say I paved the way For you cats to get paid today You d still be wastin days away Now had I never saved the day Consider them my protege Homage I think they should pay Instead of bein gracious They violate in a major way I never been a hater Still I love em in a crazy way Some say they sold the yay You know they couldn t get work on Labor Day It ain t that black and white It has an area the shade of gray I m Westside anyway Even if I left today and stayed away Some move away to make a way Not move away cause they afraid I brought back to the hood And all you ever did was take away I pray for patience But they make me wanna melt they face away Like I once made em spray Now I could make em put the K s away Been thuggin all my life Can t say I don t deserve to take a break You d rather see me catch a case and watch my future fade away You re gonna be a shinin star In fancy clothes and fancy cars And then you ll see you re gonna go far Cause everyone knows just who ya are So live your life Hey Ay ay ay You steady chasin that paper just live your life Oh Ay ay ay Ain t got no time for no haters just live your life Hey Ay ay ay No tellin where it ll take ya just live your life Oh Ay ay ay Cause I m a paper chaser just livin my life Ay my life Oh My life Ay my life Oh Just livin my life Ay my life Oh My life Ay my life Oh just livin my life I m the opposite of moderate Immaculately polished with The spirit of a hustler And the swagger of a college kid Allergic to the counterfeit Impartial to the politics Articulate But still ll grab a nigga by the collar quick Whoever havin problems With their record sales just holler TIP If that don t work and all else fails Then turn around and follow TIP I got love for the game But ay I m not in love with all of it Could do without the fame And rappers nowadays are comedy The hootin and the hollerin Back and forth with the arguin Where you from who you know What you make and what kind of car you in Seems as though you lost sight Of what s important when depositin Them checks into your bank account And you up out of poverty Your values is a disarray prioritizin horribly Unhappy with the riches Cause you re piss poor morally Ignorin all prior advice and forewarnin And we mighty full of ourselves all of a sudden aren t we You re gonna be a shinin star In fancy clothes and fancy cars And then you ll see you re gonna go far Cause everyone knows just who ya are So live your life Hey Ay ay ay You steady chasin that paper just live your life Oh Ay ay ay Ain t got no time for no haters just live your life Hey Ay ay ay No tellin where it ll take ya just live your life Oh Ay ay ay Cause I m a paper chaser just livin my life Ay my life Oh My life Ay my life Oh Just livin my life Ay my life Oh My life Ay my life Oh Got everybody watchin what I do Come walk in my shoes And see the way I m livin if you really want to Got my mind on my money And I m not goin away So keep on gettin your paper and keep on climbin Look in the mirror and keep on shinin Shinin Until the game ends til the clock stop We gon post up on the top spot Livin the life the life In the Windmill City got my whole team with me The life my life I do it how I wanna do I m livin my life my life I will never lose I m livin my life my life And I ll never stop it So live your life,Live Your Life,"T.I. Featuring Rihanna ",2008
932,1,Not Found,Single Ladies (Put A Ring On It),"Beyonce ",2008
933,2,Not Found,Single Ladies (Put A Ring On It),"Beyonce ",2009
934,3,Red wine Konvict Gaga oh yeah I ve had a little bit too much much oh oh woah All of the people start to rush start to rush by How does she twist the dance Can t find my drink or man Where are my keys I lost my phone What s going on out on the floor I love this record baby but I can t see straight anymore Keep it cool what s the name of this club I can t remember but it s alright alright Chorus Just dance gonna be OK Da da doo doo just dance spin that record babe Da da doo doo just dance gonna be OK Duh duh duh dance dance dance just dance Wish I could shut my playboy mouth How d I turn my shirt inside out Inside out right Control your poison babe Roses have thorns they say And we re all gettin hosed tonight What s going on on the floor I love this record baby but I can t see straight anymore Keep it cool what s the name of this club I can t remember but it s alright alright Chorus When I come through on the dance floor checkin out that catalog Can t believe my eyes so many women without a flaw And I ain t gonna give it up steady tryin to pick it up like the car I m a hit it I m a hit it and flex until the till done until tomorrow yeah Shawty I can see that you got so much energy The way you twirling up them hips round and round There s no reason I know why you can t leave here with me In the meantime stand let me watch you break it down and dance Gonna be okay da da doo doo Just dance spin that record babe Da da doo doo Just dance gonna be OK Da da doo doo just dance spin that record babe Da da doo doo just dance gonna be OK Duh duh duh dance dance dance just dance Half psychotic sick hypnotic Got my blueprint it s symphonic Half psychotic sick hypnotic Got my blueprint electronic Half psychotic sick hypnotic Got my blueprint it s symphonic Half psychotic sick hypnotic Got my blueprint electronic Go use your muscle carve it out work it hustle I got it just stay close enough to get it Don t slow drive it clean it Lysol bleed it Spend the last dough I got it on your pocko I got it Just dance gonna be okay Da da doo doo just dance spin that record babe Da da doo doo just dance gonna be OK Da da doo doo just dance spin that record babe Da da doo doo just dance gonna be OK Duh duh duh dance dance dance just dance,Just Dance,"Lady GaGa Featuring Colby O'Donis ",2009
935,2,Guess this means you re sorry You re standing at my door Guess this means you take back All you said before Like how much you wanted Anyone but me Said you d never come back But here you are again Cause we belong together now yeah Forever united here somehow yeah You got a piece of me And honestly My life my life would suck would suck without you Maybe I was stupid For telling you goodbye Maybe I was wrong For tryin to pick a fight I know that I ve got issues But you re pretty messed up too Either way I found out I m nothing without you Cause we belong together now yeah Forever united here somehow yeah You got a piece of me And honestly My life my life would suck would suck without you Being with you is so dysfunctional I really shouldn t miss you But I can t let you go Oh yeah Cause we belong together now yeah yeah Forever united here somehow yeah You got a piece of me And honestly My life my life would suck would suck without you Cause we belong yeah together now together now yeah Forever united here somehow yeah You got a piece of me and honestly My life my life would suck would suck without you,My Life Would Suck Without You,"Kelly Clarkson ",2009
936,1,Ladies and gentlemen The moment you ve all been waiting for In this corner weighing a hundred and seventy five pounds With a record of seventeen rapes four hundred assaults and four murders The undisputed most diabolic villain in the world Slim Shady Chorus So crack a bottle let your body waddle Don t act like a snobby model you just hit the lotto O oh o oh bitches hopping in my Tahoe Got one riding shotgun and no not one of them got clothes Now where s the rubbers Who s got the rubbers I noticed there s so many of them And there s really not that many of us Ladies love us my posse s kicking up dust It s on till the break of dawn And we re starting this party from dusk OK let s go Back with Andre the giant mister elephant tusk Picture us you ll just be another one bit the dust Just one of my mothers sons who got thrown under the bus Kiss my butt Lick the wonder cheese from under my nuts It disgusts me to see the game the way that it looks It s a must I redeem my name and haters get mushed Bitches lust Man they love me when I lay in the cut Fist the cup The lady gave her eighty some paper cut Now picture us It s ridiculous you curse at the thought Cause when I spit the verse the shit Gets worse then Worcestershire sauce If I could fit the words as picture perfect works every time Every verse every line as simple as nursery rhymes It s elementary The elephants have entered the room I venture to say we re the center of attention it s true Not to mention back with a vengeance so here s the signal Of the bat symbol The platinum trio s back on you hoes Chorus Ladies and gentlemen Dr Dre Dr Dre They see that low rider go by they re like Oh my You ain t got to tell me why you re sick cuz I know why I dip through in that six trey like sick em Dre I m an itch that they can t scratch they sick of me But hey what else can I say I love LA Cause over and above all it s just another day And this one begins where the last one ends Pick up where we left off and get smashed again I ll be dammed just fucked around and crashed my Benz Driving around with a smashed front end Let s cash that one in Grab another one from out the stable The Monte Carlo El Camino or the El Dorado The hell if I know Do I want leather seats or vinyl Decisions decisions Garage looks like Precision Collision Or Maaco beats quake like Waco Just keep the bass low speakers away from your face though Chorus And I take great pleasure in introducing 50 Cent It s bottle after bottle The money ain t a thing when you party with me It s what we into it s simple We ball out of control like you wouldn t believe I m the napalm the bomb the don I m King Kong Get rolled on wrapped up and reigned on I m so calm through Vietnam ring the alarm Bring the Shaun Dawn burn marijuana do what you want Nigga on and on till the break of what Get the paper man I m caking you know I don t give a fuck I spend it like it don t mean nothing Blow it like its supposed to be blown Motherfucker I m grown I stunt I style I flash the shit I gets what the fuck I want so what I trick Fat ass burgundy bags classy shit Jimmy Choo shoes I say move a bitch move Chorus,Crack A Bottle,"                              Eminem, Dr. Dre & 50 Cent                          ",2009
937,1,Not Found,Right Round,"Flo Rida ",2009
938,1,Not Found,Right Round,"Flo Rida Featuring Ke$ha ",2009
939,4,Not Found,Right Round,"Flo Rida ",2009
940,1,I wanna hold em like they do in Texas plays Fold em let em hit me raise it baby stay with me I love it Love Game intuition play the cards with spades to start And after he s been hooked I ll play the one that s on his heart Oh oh oh oh oh oh oh e oh oh oh I ll get him hot show him what I ve got Oh oh oh oh oh oh oh e oh oh oh I ll get him hot show him what I ve got Chorus Can t read my Can t read my No he can t read my poker face She s got me like nobody Can t read my Can t read my No he can t read my poker face She is gonna let nobody P p p poker face p p p poker face Muh muh muh muh P p p poker face p p poker face Muh muh muh muh I wanna roll with him a hard pair we will be A little gambling is fun when you re with me I love it Russian Roulette is not the same without a gun And baby when it s love if its not rough it isn t fun fun Oh oh oh oh oh oh oh e oh oh oh I ll get him hot show him what I ve got Oh oh oh oh oh oh oh e oh oh oh I ll get him hot show him what I ve got Chorus P p p poker face p p p poker face Muh muh muh muh P p p poker face p p p poker face Muh muh muh muh I won t tell you that I love you Kiss or hug you Cause I m bluffing with my muffin I m not lying I m just stunning with my love glue gunnin Just like a chick in the casino Take your bank before I pay you out I promise this promise this Check this hand cause I m marvelous Chorus x3 P p p poker face p p p poker face Muh muh muh muh P p p poker face p p p poker face Muh muh muh muh She is gonna let nobody P p p poker face p p p poker face Muh muh muh muh P p p poker face p p p poker face Muh muh muh muh P p p poker face p p p poker face Muh muh muh muh P p p poker face p p p poker face Muh muh muh muh,Poker Face,"Lady GaGa ",2009
941,12,Gotta get that Gotta get that Gotta get that Gotta get that that that Boom boom boom Gotta get that Boom boom boom Gotta get that Boom boom boom Gotta get that Boom boom boom Gotta get that Boom boom boom That boom boom boom That boom boom boom Boom boom boom Yo I got the hit that beat the block You can get that bass overload I got the that rock and roll That future flow That digital spit Next level visual shit I got that Boom boom boom How the beat bang Boom boom boom I like that boom boom pow Them chickens jackin my style They try to copy my swagger I m on that next shit now I m so 3008 You so 2000 and late I got that boom boom boom That future boom boom boom Let me get it now Boom boom boom Gotta get that Boom boom boom Gotta get that Boom boom boom Gotta get that Boom boom boom Gotta get that Boom boom boom That boom boom boom That boom boom boom Boom boom boom I m on that supersonic boom Y all hear the spaceship zoom When when I step inside the room them girls go ape shit uh Y all stuck on super A shit That low fi stupid 8 bit I m on that HD flat This beat go boom boom pow I m a beast when you turn me on Into the future Cybertron Harder faster better stronger Text the ladies longer cause We got to beat that bounce We got to beat that pounds We got the beat that 808 That the boom boom in your town People in the place If you wanna get down Put your hands in the air Will I am drop the beat now Yep yep I be rockin the beats Yep yep I be rockin the beats Yep yep yep yep Here we go here we go Satellite radio Y all getting hit with the Boom boom Beats so big I m steppin on leprechauns Shitin on y all you with the Boom boom Shitin on y all you with the Boom boom Shitin on y all you with the This beat be bumpin bumpin This beat go boom boom Let the beat rock let the beat rock let the beat rock This beat be bumpin bumpin This beat go boom boom I like that boom boom pow Them chickens jackin my style They try to copy my swagger I m on that next shit now I m so 3008 you so 2000 and late I got that boom boom boom That future boom boom boom let me get it now Boom boom boom Gotta get that Boom boom boom Gotta get that Boom boom boom Gotta get that Boom boom boom Gotta get that Boom boom boom That boom boom boom That boom boom boom Boom boom boom Let the beat rock Let the beat rock Let the beat rock Let the beat Let the beat rock Let the beat rock rock rock rock,Boom Boom Pow,"The Black Eyed Peas ",2009
942,14,I gotta feeling that tonight s gonna be a good night That tonight s gonna be a good night That tonight s gonna be a good good night A feeling that tonight s gonna be a good night That tonight s gonna be a good night That tonight s gonna be a good good night A feeling woohoo that tonight s gonna be a good night That tonight s gonna be a good night That tonight s gonna be a good good night A feeling woohoo that tonight s gonna be a good night That tonight s gonna be a good night That tonight s gonna be a good good night Tonight s the night let s live it up I got my money let s spend it up Go out and smash it like oh my God Jump off that sofa let s get get off I know that we ll have a ball If we get down and go out and just lose it all I feel stressed out I wanna let it go Let s go way out spaced out and losing all control Fill up my cup Mazel Tov Look at her dancing just take it off Let s paint the town we ll shut it down Let s burn the roof and then we ll do it again Let s do it let s do it let s do it let s do it And do it and do it let s live it up And do it and do it and do it do it do it Let s do it let s do it let s do it Cause I gotta feeling woohoo That tonight s gonna be a good night That tonight s gonna be a good night That tonight s gonna be a good good night A feeling woohoo that tonight s gonna be a good night That tonight s gonna be a good night That tonight s gonna be a good good night Tonight s the night Hey Let s live it up Let s live it up I got my money My pay Let s spend it up Let s spend it up Go out and smash it Smash it Like oh my God Like oh my God Jump off that sofa Come on Let s get get off Fill up my cup Drink Mazel Tov Lhyem Look at her dancing Move it move it Just take it off Let s paint the town Paint the town We ll shut it down Let s shut it down Let s burn the roof And then we ll do it again Let s do it let s do it let s do it let s do it And do it and do it let s live it up And do it and do it and do it do it do it Let s do it let s do it let s do it do it do it do it Here we come here we go we gotta rock Rock rock rock rock rock Easy come easy go now we on top Top top top top top Feel the shot body rock rock it don t stop Stop stop stop stop stop Round and round up and down around the clock Rock rock rock rock rock Monday Tuesday Wednesday and Thursday Friday Saturday Saturday to Sunday Get get get get get with us you know what we say say Party every day p p p party every day And I m feelin woohoo that tonight s gonna be a good night That tonight s gonna be a good night That tonight s gonna be a good good night A feelin woohoo that tonight s gonna be a good night That tonight s gonna be a good night That tonight s gonna be a good good night woohoo,I Gotta Feeling,"The Black Eyed Peas ",2009
943,1,Intro Baby are you down down down down down Down down Even if the sky is falling down Down down Verse 1 You oughta know tonight is the night to let it go Put on a show I wanna see how you lose control Bridge So leave it behind cause we have a night to get away So come on and fly with me as we make our great escape Refrain So baby don t worry you are my only You won t be lonely even if the sky is falling down You ll be my only no need to worry Baby are you down down down down down Down Down Baby are you down down down down down Down Down Even if the sky is falling down Verse 2 Just let it be Come on and bring your body next to me I ll take you away hey Turn this place into our private getaway Refrain So baby don t worry you are my only You won t be lonely even if the sky is falling down You ll be my only no need to worry Baby are you down down down down down Down Down Baby are you down down down down down Down Down Even if the sky is falling down Verse 3 Lil Wayne Even if the sky is falling down like she supposed to be She gets down low for me Down like her temperature cause to me she zero degree She cold over freeze I got that girl from overseas Now she my Miss America Now can I be her soldier please I m fighting for this girl On the battlefield of love Don t it look like baby cupid sending arrows from above Don t you ever leave the side of me Indefinitely not probably And honestly I m down like the economy Bridge So leave it behind cause we have a night to get away So come on and fly with me as we make our great escape Refrain So baby don t worry you are my only You won t be lonely even if the sky is falling down You ll be my only no need to worry Baby are you down down down down down Down Down Baby are you down down down down down Down Down Even if the sky is falling down,Down,"Jay Sean Featuring Lil Wayne ",2009
944,1,One two three Not only you and me Got one eighty degrees And I m caught in between Countin One two three Peter Paul and Mary Gettin down with 3P Everybody loves me Oh Babe pick a night To come out and play If it s alright What do you say Merrier the more Triple fun that way Twister on the floor What do you say Are you in Livin in sin is the new thing yeah Are you in I am countin One two three Not only you and me Got one eighty degrees And I m caught in between Countin One two three Peter Paul and Mary Gettin down with 3P Everybody loves me Oh One two three Not only you and me Got one eighty degrees And I m caught in between Countin One two three Peter Paul and Mary Gettin down with 3P Everybody loves me Oh Three is a charm Two is not the same I don t see the harm So are you game Lets make a team Make em say my name Lovin the extreme Now are you game Are you in Livin in sin is the new thing Are you in I am countin One two three Not only you and me Got one eighty degrees And I m caught in between Countin One two three Peter Paul and Mary Gettin down with 3P Everybody loves me One two three Not only you and me Got one eighty degrees And I m caught in between Countin One two three Peter Paul and Mary Gettin down with 3P Everybody loves me What we do is innocent Just for fun and nothin meant If you don t like the company Let s just do it you and me You and me Or three Or four On the floor One two three Not only you and me Got one eighty degrees And I m caught in between Countin One two three Peter Paul and Mary Gettin down with 3P Everybody loves me Oh One two three Not only you and me Got one eighty degrees And I m caught in between Countin One two three Peter Paul and Mary Gettin down with 3P Everybody loves me Oh,3,"Britney Spears ",2009
945,1,Intro Baby are you down down down down down Down down Even if the sky is falling down Down down Verse 1 You oughta know tonight is the night to let it go Put on a show I wanna see how you lose control Bridge So leave it behind cause we have a night to get away So come on and fly with me as we make our great escape Refrain So baby don t worry you are my only You won t be lonely even if the sky is falling down You ll be my only no need to worry Baby are you down down down down down Down Down Baby are you down down down down down Down Down Even if the sky is falling down Verse 2 Just let it be Come on and bring your body next to me I ll take you away hey Turn this place into our private getaway Refrain So baby don t worry you are my only You won t be lonely even if the sky is falling down You ll be my only no need to worry Baby are you down down down down down Down Down Baby are you down down down down down Down Down Even if the sky is falling down Verse 3 Lil Wayne Even if the sky is falling down like she supposed to be She gets down low for me Down like her temperature cause to me she zero degree She cold over freeze I got that girl from overseas Now she my Miss America Now can I be her soldier please I m fighting for this girl On the battlefield of love Don t it look like baby cupid sending arrows from above Don t you ever leave the side of me Indefinitely not probably And honestly I m down like the economy Bridge So leave it behind cause we have a night to get away So come on and fly with me as we make our great escape Refrain So baby don t worry you are my only You won t be lonely even if the sky is falling down You ll be my only no need to worry Baby are you down down down down down Down Down Baby are you down down down down down Down Down Even if the sky is falling down,Down,"Jay Sean Featuring Lil Wayne ",2009
946,1,You would not believe your eyes If ten million fireflies Lit up the world as I fell asleep Cause they fill the open air And leave teardrops everywhere You d think me rude but I would just stand and stare I d like to make myself believe that planet earth turns slowly It s hard to say that I d rather stay awake when I m asleep Cause everything is never as it seems Cause I d get a thousand hugs From ten thousand lightning bugs As they tried to teach me how to dance A foxtrot above my head A sock hop beneath my bed A disco ball is just hanging by a thread thread thread I d like to make myself believe that planet earth turns slowly It s hard to say that I d rather stay awake when I m asleep Cause everything is never as it seems when I fall asleep Leave my door open just a crack Please take me away from here Cause I feel like such an insomniac Please take me away from here Why do I tire of counting sheep Please take me away from here When I m far too tired to fall asleep To ten million fireflies I m weird cause I hate goodbyes I got misty eyes as they said farewell said farewell But I ll know where several are If my dreams get real bizarre Cause I saved a few and I keep them in a jar jar jar I d like to make myself believe that planet earth turns slowly It s hard to say that I d rather stay awake when I m asleep Cause everything is never as it seems when I fall asleep I d like to make myself believe that planet earth turns slowly It s hard to say that I d rather stay awake when I m asleep Cause everything is never as it seems when I fall asleep I d like to make myself believe that planet earth turns slowly It s hard to say that I d rather stay awake when I m asleep Because my dreams are bursting at the seams,Fireflies,"Owl City ",2009
947,1,Not Found,Whatcha Say,"Jason DeRulo ",2009
948,1,You would not believe your eyes If ten million fireflies Lit up the world as I fell asleep Cause they fill the open air And leave teardrops everywhere You d think me rude but I would just stand and stare I d like to make myself believe that planet earth turns slowly It s hard to say that I d rather stay awake when I m asleep Cause everything is never as it seems Cause I d get a thousand hugs From ten thousand lightning bugs As they tried to teach me how to dance A foxtrot above my head A sock hop beneath my bed A disco ball is just hanging by a thread thread thread I d like to make myself believe that planet earth turns slowly It s hard to say that I d rather stay awake when I m asleep Cause everything is never as it seems when I fall asleep Leave my door open just a crack Please take me away from here Cause I feel like such an insomniac Please take me away from here Why do I tire of counting sheep Please take me away from here When I m far too tired to fall asleep To ten million fireflies I m weird cause I hate goodbyes I got misty eyes as they said farewell said farewell But I ll know where several are If my dreams get real bizarre Cause I saved a few and I keep them in a jar jar jar I d like to make myself believe that planet earth turns slowly It s hard to say that I d rather stay awake when I m asleep Cause everything is never as it seems when I fall asleep I d like to make myself believe that planet earth turns slowly It s hard to say that I d rather stay awake when I m asleep Cause everything is never as it seems when I fall asleep I d like to make myself believe that planet earth turns slowly It s hard to say that I d rather stay awake when I m asleep Because my dreams are bursting at the seams,Fireflies,"Owl City ",2009
949,5,Jay Z Yeah Yeah I m ma up at Brooklyn Now I m down in Tribe ca Right next to DeNiro But I ll be hood forever I m the new Sinatra And since I made it here I can make it anywhere Yeah they love me everywhere I used to cop in Harlem All of my Dominicans Right there up on Broadway Brought me back to that McDonald s Took it to my stash spot 5 60 State street Catch me in the kitchen like a Simmons whipping Pastry Cruising down 8th street Off white Lexus Driving so slow but BK is from Texas Me I m up at Bed Study Home of that boy Biggie Now I live on billboard And I brought my boys with me Say what up to Ty Ty still sipping Mai tai Sitting court side Knicks and Nets give me high fives N gga I be Spiked out I can trip a referee Tell by my attitude that I most definitely from Alicia Keys In New York Concrete jungle where dreams are made of There s nothing you can t do Now you re in New York These streets will make you feel brand new The lights will inspire you Let s hear it for New York New York New York Jay Z I made you hot nigga Catch me at the X with OG at a Yankee game Shit I made the Yankee hat more famous than a yankee can You should know I bleed Blue but I ain t a crip tho But I got a gang of niggas walking with my clique though Welcome to the melting pot Corners where we selling rocks Afrika bambaataa shit Home of the hip hop Yellow cap gypsy cap dollar cab holla back For foreigners it aint fitted they forgot how to act 8 million stories out there and their naked Cities is a pity half of y all won t make it Me I gotta plug Special Ed and I got it made If Jeezy s paying LeBron I m paying Dwayne Wade 3 dice cee lo 3 card Monte Labor day parade rest in peace Bob Marley Statue of Liberty long live the World trade Long live the king yo I m from the empire state that s Repeat Chorus Welcome to the bright light Jay Z Lights is blinding Girls need blinders So they can step out of bounds quick The side lines is blind with casualties Who sipping life casually then gradually become worse Don t bite the apple Eve Caught up in the in crowd Now your in style And in the winter gets cold en vogue with your skin out The city of sin is a pity on a whim Good girls gone bad the cities filled with them Mami took a bus trip and now she got her bust out Everybody ride her just like a bus route Hail Mary to the city your a Virgin And Jesus can t save you life starts when the church ends Came here for school graduated to the high life Ball players rap stars addicted to the limelight MDMA got you feeling like a champion The city never sleeps better slip you a Ambient Repeat Chorus Alicia Keys One hand in the air for the big city Street lights big dreams all looking pretty No place in the World that can compare Put your lighters in the air everybody say yeah Come on come Yeah Repeat Chorus,Empire State Of Mind,"                              Jay-Z + Alicia Keys                          ",2009
950,9,Not Found,TiK ToK,"Ke$ha ",2010
951,2,I mma be I mma be I mma I mma I mma be I mma be I mma be I mma I mma I mma be I mma be I mma be I mma I mma I mma be I mma be be be be I mma I mma be I mma be be be be I mma I mma be I mma be be be be I mma I mma be I mma be on the next level I mma be rocking over that bass tremble I mma be chilling with my motherfuckin crew I mma be making all them deals you wanna do ha I mma be up in them A list flicks Doin one handed flips and I mma be Sipping on drinks cause I mma be shaking my hips You goin be licking your lips I mma be taking them pics Lookin all fly and shit I mma be the fliest chick so fly I mma be spreading my wings I mma be doing my thing do it do it okay I mma I mma swing it this way I mma I mma I mma I mma swing it that a way This is freaky Fergie and I mma I mma be here to say 21st century til infinity I mma be I mma be I mma I mma I mma be I mma be I mma be I mma I mma I mma be Rich baby what what I mma I mma I mma be The shit baby check me out be I mma be I mma be On top never stop be be I mma be I mma be I mma I mma I mma be I mma be freakin her I mma I mma I mma be I mma be be be I mma I mma be I mma be the upgraded new negro I mma be the average brother with soul I mma be world wide international I mma be in Rio rocking Tokyo I mma be brilliant with my millions Loan out a billion I get back a trillion I mma be a brother but my name ain t Lemen I mma be ya banker loading out semen Honeys in debt but we bouncing them checks but I don t really mind when they bouncing them checks I mma be I mma be I mma be I mma be Rich I mma be I mma I mma be I mma I mma be I mma be sick with the flow When the goal is to rock the whole globe I mma be the future I mma be the whole reason why you niggas come to a show You can see what I m rockin And I m kickin down a door I mma be up in the club Doin whatever I like I mma be popping that bubbly Coolin and living that good life Oh let s make this last forever Partying and we ll chill together On and on and on and on and On and on and on and on and I mma be rocking like this What Y all niggas wanna talk shit But Wanting you put it on the blog nigga Rocking like this my job nigga We can t help that we popular And all these folks want to flock to us Come to a show and just rock with us A million plus with binoculars I mma be I mma be I mma be I mma be I mma be living that good life I mma be living that good good I mma be I mma be I mma be I mma be I mma be living that good life I mma be living that good good I mma be I mma be I mma be I mma be I mma be living that good life I mma be living that good good I mma be I mma be I mma be I mma be I mma be living that good life I mma be living that good good I mma be I mma be I mma be I mma be I mma be I mma be I mma be rocking that Apl de ap infinite B E P we definite We on some next level shit Futuristic musically Power will full with energy From the soul we sonically Sending positivity Crossed the globe and seven seas Take care our families Rocking shows makin cheese I mma be out with my peas Living life feeling free That s how it s supposed to be Come join my festivities Celebrate like I mma be I mma be I mma be I mma be I mma be I mma be I mma be I mma be I mma be I mma be I mma be I mma be I mma be,Imma Be,"The Black Eyed Peas ",2010
952,1,Luda now I may not be the worst or the best but you gotta respect my honesty And I may break your heart but I don t really think there s anybody as bomb as me So you can take this chance in the end everybody s gonna be wondering how you deal You might say this is Ludacris but Taio Cruz tell her how you feel Now listen to me baby Before i love and leave you They call me heart breaker I don t wanna deceive you If you fall for me I m not easy to please I mma tear you apart Told you from the start baby from the start I m only gonna break break ya break break ya heart I m only gonna break break ya break break ya heart I m only gonna break break ya break break ya heart I m only gonna break break ya break break ya heart Whoa oh whoa whoa oh whoa Theres not point trying to hide it No point trying to evade it I know I got a problem Problem with misbehaving If you fall for me I m not easy to please I mma tear you apart Told you from the start baby from the start I m only gonna break break ya break break ya heart I m only gonna break break ya break break ya heart I m only gonna break break ya break break ya heart I m only gonna break break ya break break ya heart That s all I m gonna do woman Listen now I m only gonna break yo heart And shatter and splatter it all into little bitty pieces Whether or not you get it all together then it s finders keepers and losers weepers See I m not tryin to lead you on no I m only tryin to keep it real You might say this is Ludacris but Taio Cruz tell her how you feel Hey and I know karma s gonna get me back for bein so cold Hey like a big bad wolf I m born to be bad and bad to the bone Hey if you fall for me I m only gonna tear you apart Hey told ya from the start hey I m only gonna break break ya break break ya heart I m only gonna break break ya break break ya heart I m only gonna break break ya break break ya heart I m only gonna break break ya break break ya heart Whoa oh whoa Whoa oh whoa Whoa oh whoa Whoa oh whoa,Break Your Heart,"Taio Cruz Featuring Ludacris ",2010
953,5,Come here rude boy boy Can you get it up Come here rude boy boy Is you big enough Take it take it yeah Baby baby yeah Take it take it yeah Love me love me yeah Come here rude boy boy Can you get it up Come here rude boy boy Is you big enough Take it take it yeah Baby baby yeah Take it take it yeah Love me love me yeah Tonight I mma let you be the captain Tonight I mma let you do your thing yeah Tonight I mma let you be a rider Giddy up Giddy up Giddy up babe Tonight I mma let it be fire Tonight I mma let you take me higher Tonight Baby we can get it on yeah we can get it on yeah Do you like it boy I wa wa want What you wa wa want Give it to me baby Like boom boom boom What I wa wa want Is what you wa wa want Na na ah Come here rude boy boy Can you get it up Come here rude boy boy Is you big enough Take it take it yeah Baby baby yeah Take it take it yeah Love me love me yeah Come here rude boy boy Can you get it up Come here rude boy boy Is you big enough Take it take it yeah Baby baby yeah Take it take it yeah Love me love me yeah Tonight I mma give it to you harder Tonight I mma turn your body out Relax Let me do it how I wanna If you got it I need it And I mma put it down Buckle up I mma give it to you stronger Hands up We can go a little longer Tonight I mma get a little crazy Get a little crazy baby Do you like it boy I wa wa want What you wa wa want Give it to me baby Like boom boom boom What I wa wa want Is what you wa wa want Na na ah Come here rude boy boy Can you get it up Come here rude boy boy Is you big enough Take it take it yeah Baby baby yeah Take it take it yeah Love me love me yeah Come here rude boy boy Can you get it up Come here rude boy boy Is you big enough Take it take it yeah Baby baby yeah Take it take it yeah Love me love me yeah I like the way you touch me there I like the way you pull my hair Babe if I don t feel it I ain t faking No no I like when you tell me kiss me there I like when you tell me move it there So giddy up Time to giddy up You say you re a rude boy Show me what you got now Come here right now Take it take it Baby baby Take it take it Love me love me Come here rude boy boy Can you get it up Come here rude boy boy Is you big enough oh Take it take it yeah Baby baby yeah Take it take it yeah Love me love me yeah Come here rude boy boy Can you get it up Come here Come here rude boy boy Is you big enough oh Take it take it yeah Baby baby yeah Take it take it yeah Love me love me yeah Love me Love me Love me Love me Love me Love me Take it Take it take it Baby baby Take it take it Love me love me Love me yeah Love me Love me yeah Love me Love me yeah Love me Take it take it Baby baby Take it take it Love me love me,Rude Boy,"Rihanna ",2010
